IOWA,Iowa,Iowa Hawkeyes,2294
MICH,Michigan,Michigan Wolverines,130
BCU,Bethune-Cookman,Bethune-Cookman Wildcats,2065
ETSU,East Tennessee State,East Tennessee State Buccaneers,2193
WIU,Western Illinois,Western Illinois Leathernecks,2710
KENT,Kent State,Kent State Golden Flashes,2309
LAM,Lamar,Lamar Cardinals,2320
USM,Southern Miss,Southern Miss Golden Eagles,2572
PSU,Penn State,Penn State Nittany Lions,213
MCN,McNeese,McNeese Cowboys,2377
CCSU,Central Connecticut,Central Connecticut Blue Devils,2115
BUFF,Buffalo,Buffalo Bulls,2084
M-OH,Miami (OH),Miami (OH) RedHawks,193
STBK,Stony Brook,Stony Brook Seawolves,2619
TAR,Tarleton,Tarleton Texans,2627
HOU,Houston,Houston Cougars,248
SUU,Southern Utah,Southern Utah Thunderbirds,253
NWST,Northwestern State,Northwestern State Demons,2466
TOL,Toledo,Toledo Rockets,2649
SFA,Stephen F. Austin,Stephen F. Austin Lumberjacks,2617
UNH,New Hampshire,New Hampshire Wildcats,160
NORF,Norfolk State,Norfolk State Spartans,2450
SDAK,South Dakota,South Dakota Coyotes,233
WMU,Western Michigan,Western Michigan Broncos,2711
OU,Oklahoma,Oklahoma Sooners,201
CP,Cal Poly,Cal Poly Mustangs,13
FUR,Furman,Furman Paladins,231
DUQ,Duquesne,Duquesne Dukes,2184
MSU,Michigan State,Michigan State Spartans,127
ARST,Arkansas State,Arkansas State Red Wolves,2032
SDST,South Dakota State,South Dakota State Jackrabbits,2571
AAMU,Alabama A&M,Alabama A&M Bulldogs,2010
WAKE,Wake Forest,Wake Forest Demon Deacons,154
LIU,Long Island University,Long Island University Sharks,112358
ILST,Illinois State,Illinois State Redbirds,2287
PRST,Portland State,Portland State Vikings,2502
FLA,Florida,Florida Gators,57
EMU,Eastern Michigan,Eastern Michigan Eagles,2199
AUB,Auburn,Auburn Tigers,2
SYR,Syracuse,Syracuse Orange,183
W&M,William & Mary,William & Mary Tribe,2729
UTC,Chattanooga,Chattanooga Mocs,236
MOST,Missouri State,Missouri State Bears,2623
LSU,LSU,LSU Tigers,99
BRY,Bryant,Bryant Bulldogs,2803
UAPB,Arkansas-Pine Bluff,Arkansas-Pine Bluff Golden Lions,2029
ISU,Iowa State,Iowa State Cyclones,66
CCU,Coastal Carolina,Coastal Carolina Chanticleers,324
GRAM,Grambling,Grambling Tigers,2755
SJSU,San José State,San José State Spartans,23
JVST,Jacksonville State,Jacksonville State Gamecocks,55
USA,South Alabama,South Alabama Jaguars,6
AFA,Air Force,Air Force Falcons,2005
UND,North Dakota,North Dakota Fighting Hawks,155
VILL,Villanova,Villanova Wildcats,222
BC,Boston College,Boston College Eagles,103
UNI,Northern Iowa,Northern Iowa Panthers,2460
USU,Utah State,Utah State Aggies,328
BGSU,Bowling Green,Bowling Green Falcons,189
WYO,Wyoming,Wyoming Cowboys,2751
TTU,Texas Tech,Texas Tech Red Raiders,2641
CAL,California,California Golden Bears,25
UNA,North Alabama,North Alabama Lions,2453
WVU,West Virginia,West Virginia Mountaineers,277
FAMU,Florida A&M,Florida A&M Rattlers,50
HC,Holy Cross,Holy Cross Crusaders,107
MORG,Morgan State,Morgan State Bears,2415
VT,Virginia Tech,Virginia Tech Hokies,259
ECU,East Carolina,East Carolina Pirates,151
SELA,SE Louisiana,SE Louisiana Lions,2545
CAM,Campbell,Campbell Fighting Camels,2097
UCD,UC Davis,UC Davis Aggies,302
CLEM,Clemson,Clemson Tigers,228
UNLV,UNLV,UNLV Rebels,2439
SFPA,St. Francis (PA),St. Francis (PA) Red Flash,2598
WEB,Weber State,Weber State Wildcats,2692
NU,Northwestern,Northwestern Wildcats,77
NAVY,Navy,Navy Midshipmen,2426
SIU,Southern Illinois,Southern Illinois Salukis,79
GAST,Georgia State,Georgia State Panthers,2247
USF,South Florida,South Florida Bulls,58
ALB,Albany,Albany Great Danes,399
SC,South Carolina,South Carolina Gamecocks,2579
UCF,UCF,UCF Knights,2116
ULM,UL Monroe,UL Monroe Warhawks,2433
KU,Kansas,Kansas Jayhawks,2305
URI,Rhode Island,Rhode Island Rams,227
NDSU,North Dakota State,North Dakota State Bison,2449
EKU,Eastern Kentucky,Eastern Kentucky Colonels,2198
SCST,South Carolina State,South Carolina State Bulldogs,2569
NMSU,New Mexico State,New Mexico State Aggies,166
EWU,Eastern Washington,Eastern Washington Eagles,331
PUR,Purdue,Purdue Boilermakers,2509
UIW,Incarnate Word,Incarnate Word Cardinals,2916
ILL,Illinois,Illinois Fighting Illini,356
MASS,UMass,UMass Minutemen,113
MTST,Montana State,Montana State Bobcats,147
KSU,Kansas State,Kansas State Wildcats,2306
HOW,Howard,Howard Bison,47
SMU,SMU,SMU Mustangs,2567
FAU,Florida Atlantic,Florida Atlantic Owls,2226
BUCK,Bucknell,Bucknell Bison,2083
CSU,Colorado State,Colorado State Rams,36
NIU,Northern Illinois,Northern Illinois Huskies,2459
TROY,Troy,Troy Trojans,2653
COLG,Colgate,Colgate Raiders,2142
